Pi weather station data from codename mulberry, initialised Sun Sep 25 19:26:28 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-25T22:33:21, 10.3125, 4.75, 0.0
2022-09-25T22:34:22, 10.1875, 4.12, 0.0
2022-09-25T22:35:23, 10.1875, 2.9, 0.0
2022-09-25T22:36:24, 10.1875, 5.09, 0.0
2022-09-25T22:37:25, 10.25, 4.31, 0.0
2022-09-25T22:38:26, 10.25, 2.21, 0.0
2022-09-25T22:39:27, 10.25, 4.57, 0.0
2022-09-25T22:40:27, 10.1875, 2.72, 0.0
2022-09-25T22:41:28, 10.1875, 2.6, 0.0
2022-09-25T22:42:29, 10.125, 2.45, 0.0
2022-09-25T22:43:30, 10.125, 3.27, 0.0
2022-09-25T22:44:31, 10.0, 2.36, 0.0
2022-09-25T22:45:32, 9.9375, 2.35, 0.0
2022-09-25T22:46:33, 9.875, 2.76, 0.0
2022-09-25T22:47:34, 9.8125, 1.54, 0.0
2022-09-25T22:48:35, 9.6875, 1.16, 0.0
2022-09-25T22:49:36, 9.6875, 2.55, 0.0
2022-09-25T22:50:37, 9.5, 1.64, 0.0
2022-09-25T22:51:37, 9.8125, 3.51, 0.0
2022-09-25T22:52:38, 9.875, 4.83, 0.0
2022-09-25T22:53:39, 9.625, 3.1, 0.0
2022-09-25T22:54:40, 9.5, 2.68, 0.0
2022-09-25T22:55:41, 9.5625, 2.82, 0.0
2022-09-25T22:56:42, 9.5625, 2.72, 0.0
2022-09-25T22:57:43, 9.4375, 1.16, 0.0
2022-09-25T22:58:44, 9.375, 1.91, 0.0
2022-09-25T22:59:45, 9.4375, 2.23, 0.0
2022-09-25T23:00:46, 9.375, 1.36, 0.0
2022-09-25T23:01:47, 9.4375, 1.85, 0.0
2022-09-25T23:02:47, 9.375, 1.56, 0.0
2022-09-25T23:03:48, 9.375, 1.34, 0.0
2022-09-25T23:04:49, 9.125, 1.42, 0.0
2022-09-25T23:05:50, 9.375, 2.96, 0.0
2022-09-25T23:06:51, 9.25, 2.25, 0.0
2022-09-25T23:07:52, 9.3125, 1.79, 0.0
2022-09-25T23:08:53, 9.1875, 0.22, 0.0
2022-09-25T23:09:54, 9.125, 1.4, 0.0
2022-09-25T23:10:55, 9.25, 1.89, 0.0
2022-09-25T23:11:56, 9.25, 2.11, 0.0
2022-09-25T23:12:57, 9.1875, 1.52, 0.0
2022-09-25T23:13:58, 9.1875, 2.01, 0.0
2022-09-25T23:14:59, 9.125, 1.36, 0.0
2022-09-25T23:15:59, 9.1875, 1.44, 0.0
2022-09-25T23:17:00, 9.375, 1.89, 0.0
2022-09-25T23:18:01, 9.375, 1.52, 0.0
2022-09-25T23:19:02, 9.4375, 2.07, 0.0
2022-09-25T23:20:03, 9.5, 2.19, 0.0
2022-09-25T23:21:04, 9.5, 1.2, 0.0
2022-09-25T23:22:05, 9.625, 2.19, 0.0
2022-09-25T23:23:06, 9.625, 2.76, 0.0
2022-09-25T23:24:07, 9.6875, 1.83, 0.0
2022-09-25T23:25:08, 9.625, 0.89, 0.0
2022-09-25T23:26:09, 9.625, 1.56, 0.0
2022-09-25T23:27:09, 9.625, 1.28, 0.0
2022-09-25T23:28:10, 9.5, 0.77, 0.0
2022-09-25T23:29:11, 9.4375, 1.48, 0.0
2022-09-25T23:30:12, 9.375, 2.27, 0.0
2022-09-25T23:31:13, 9.4375, 2.39, 0.0
2022-09-25T23:32:14, 9.375, 0.99, 0.0
2022-09-25T23:33:15, 9.375, 2.13, 0.0
2022-09-25T23:34:16, 9.4375, 1.16, 0.0
2022-09-25T23:35:17, 9.4375, 0.95, 0.0
2022-09-25T23:36:18, 9.4375, 0.06, 0.0
2022-09-25T23:37:19, 9.4375, 0.93, 0.0
2022-09-25T23:38:20, 9.4375, 0.95, 0.0
2022-09-25T23:39:21, 9.5625, 2.34, 0.0
2022-09-25T23:40:21, 9.5, 0.89, 0.0
2022-09-25T23:41:22, 9.4375, 0.79, 0.0
2022-09-25T23:42:23, 9.3125, 2.19, 0.0
2022-09-25T23:43:24, 9.25, 2.07, 0.0
2022-09-25T23:44:25, 9.3125, 3.78, 0.0
2022-09-25T23:45:26, 9.1875, 1.75, 0.0
2022-09-25T23:46:27, 9.1875, 1.76, 0.0
2022-09-25T23:47:28, 9.125, 1.81, 0.0
2022-09-25T23:48:29, 9.125, 2.32, 0.0
2022-09-25T23:49:30, 9.0625, 1.06, 0.0
2022-09-25T23:50:31, 9.0, 1.22, 0.0
2022-09-25T23:51:32, 8.9375, 1.36, 0.0
2022-09-25T23:52:33, 9.1875, 2.66, 0.0
2022-09-25T23:53:34, 9.125, 1.56, 0.0
2022-09-25T23:54:35, 9.125, 2.05, 0.0
2022-09-25T23:55:35, 9.25, 2.27, 0.0
2022-09-25T23:56:36, 9.25, 2.6, 0.0
2022-09-25T23:57:37, 9.25, 1.46, 0.0
2022-09-25T23:58:38, 9.25, 1.38, 0.0
2022-09-25T23:59:39, 9.25, 0.83, 0.0
2022-09-26T00:00:40, 9.3125, 2.23, 0.0
2022-09-26T00:01:41, 9.3125, 1.28, 0.0
2022-09-26T00:02:42, 9.3125, 2.92, 0.0
2022-09-26T00:03:43, 9.375, 2.31, 0.0
2022-09-26T00:04:44, 9.3125, 1.22, 0.0
2022-09-26T00:05:45, 9.375, 2.29, 0.0
2022-09-26T00:06:46, 9.375, 1.02, 0.0
2022-09-26T00:07:47, 9.25, 1.24, 0.0
2022-09-26T00:08:48, 9.0625, 1.99, 0.0
2022-09-26T00:09:49, 8.75, 2.11, 0.0
2022-09-26T00:10:50, 8.75, 2.25, 0.0
2022-09-26T00:11:51, 8.4375, 1.5, 0.0
2022-09-26T00:12:51, 8.375, 1.73, 0.0
2022-09-26T00:13:52, 8.3125, 1.93, 0.0
2022-09-26T00:14:53, 8.3125, 1.02, 0.0
2022-09-26T00:15:54, 8.3125, 1.42, 0.0
2022-09-26T00:16:55, 8.25, 0.77, 0.0
2022-09-26T00:17:56, 8.3125, 2.4, 0.0
2022-09-26T00:18:57, 8.3125, 2.86, 0.0
2022-09-26T00:19:58, 8.3125, 2.17, 0.0
2022-09-26T00:20:59, 8.3125, 1.99, 0.0
2022-09-26T00:22:00, 8.3125, 2.5, 0.0
2022-09-26T00:23:01, 8.3125, 1.87, 0.0
2022-09-26T00:24:02, 8.3125, 2.13, 0.0
2022-09-26T00:25:03, 8.3125, 1.81, 0.0
2022-09-26T00:26:04, 8.3125, 1.75, 0.0
2022-09-26T00:27:05, 8.375, 2.56, 0.0
2022-09-26T00:28:06, 8.375, 2.48, 0.0
2022-09-26T00:29:07, 8.375, 1.73, 0.0
2022-09-26T00:30:08, 8.375, 2.76, 0.0
2022-09-26T00:31:08, 8.3125, 2.33, 0.0
2022-09-26T00:32:09, 8.375, 3.24, 0.0
2022-09-26T00:33:10, 8.3125, 3.08, 0.0
2022-09-26T00:34:11, 8.3125, 1.97, 0.0
2022-09-26T00:35:12, 8.3125, 1.38, 0.0
2022-09-26T00:36:13, 8.3125, 2.15, 0.0
2022-09-26T00:37:14, 8.3125, 1.54, 0.0
2022-09-26T00:38:15, 8.25, 1.14, 0.0
2022-09-26T00:39:16, 8.3125, 4.18, 0.0
2022-09-26T00:40:17, 8.3125, 2.07, 0.0
2022-09-26T00:41:18, 8.3125, 2.15, 0.0
2022-09-26T00:42:19, 8.3125, 1.91, 0.0
2022-09-26T00:43:20, 8.3125, 0.91, 0.0
2022-09-26T00:44:21, 8.3125, 2.56, 0.0
2022-09-26T00:45:21, 8.3125, 1.24, 0.0
2022-09-26T00:46:22, 8.3125, 1.01, 0.0
2022-09-26T00:47:23, 8.25, 0.75, 0.0
2022-09-26T00:48:24, 8.3125, 1.5, 0.0
2022-09-26T00:49:25, 8.3125, 2.23, 0.0
2022-09-26T00:50:26, 8.25, 0.45, 0.0
2022-09-26T00:51:27, 8.25, 0.99, 0.0
2022-09-26T00:52:28, 8.25, 2.36, 0.0
2022-09-26T00:53:29, 8.25, 1.56, 0.0
2022-09-26T00:54:30, 8.25, 1.79, 0.0
2022-09-26T00:55:31, 8.25, 1.46, 0.0
2022-09-26T00:56:32, 8.25, 0.87, 0.0
2022-09-26T00:57:33, 8.25, 0.91, 0.0
2022-09-26T00:58:34, 8.3125, 3.59, 0.0
2022-09-26T00:59:35, 8.3125, 5.13, 0.0
2022-09-26T01:00:36, 8.25, 2.15, 0.0
2022-09-26T01:01:37, 8.25, 1.4, 0.0
2022-09-26T01:02:37, 8.25, 1.99, 0.0
2022-09-26T01:03:38, 8.25, 2.25, 0.0
2022-09-26T01:04:39, 8.25, 2.15, 0.0
