Pi weather station data from codename roady, initialised Tue Sep 11 17:00:24 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-11T17:53:20, 18.187, 0.95, 0.0
2018-09-11T17:53:34, 18.187, 0.95, 0.0
2018-09-11T17:53:48, 18.187, 0.69, 0.0
2018-09-11T17:54:02, 18.187, 0.69, 0.0
2018-09-11T17:54:16, 18.187, 1.99, 0.0
2018-09-11T17:54:30, 18.187, 1.98, 0.0
2018-09-11T17:54:44, 18.125, 3.11, 0.0
2018-09-11T17:54:58, 18.187, 2.42, 0.0
2018-09-11T17:55:12, 18.125, 3.28, 0.0
2018-09-11T17:55:26, 18.125, 1.64, 0.0
2018-09-11T17:55:39, 18.125, 1.12, 0.0
2018-09-11T17:55:53, 18.125, 2.5, 0.0
2018-09-11T17:56:07, 18.125, 1.04, 0.0
2018-09-11T17:56:21, 18.062, 1.47, 0.0
2018-09-11T17:56:35, 18.062, 1.38, 0.0
2018-09-11T17:56:49, 18.0, 1.98, 0.0
2018-09-11T17:57:03, 18.0, 3.11, 0.0
2018-09-11T17:57:17, 18.062, 2.33, 0.0
2018-09-11T17:57:31, 18.125, 3.1, 0.0
2018-09-11T17:57:45, 18.125, 1.81, 0.0
2018-09-11T17:57:59, 18.062, 1.81, 0.0
2018-09-11T17:58:13, 18.062, 2.33, 0.0
2018-09-11T17:58:26, 18.062, 1.55, 0.0
2018-09-11T17:58:40, 18.062, 1.04, 0.0
2018-09-11T17:58:54, 18.125, 0.69, 0.0
2018-09-11T17:59:08, 18.125, 0.69, 0.0
2018-09-11T17:59:22, 18.125, 3.62, 0.0
2018-09-11T17:59:36, 18.062, 6.39, 0.0
2018-09-11T17:59:50, 18.0, 4.14, 0.0
2018-09-11T18:00:04, 18.0, 2.85, 0.0
2018-09-11T18:00:18, 17.937, 3.28, 0.0
2018-09-11T18:00:32, 17.937, 2.59, 0.0
2018-09-11T18:00:46, 17.937, 1.55, 0.0
2018-09-11T18:01:00, 17.937, 2.24, 0.0
2018-09-11T18:01:14, 17.937, 1.98, 0.0
2018-09-11T18:01:27, 17.937, 1.55, 0.0
2018-09-11T18:01:41, 18.0, 1.72, 0.0
2018-09-11T18:01:55, 18.062, 1.73, 0.0
2018-09-11T18:02:09, 18.062, 0.95, 0.0
2018-09-11T18:02:23, 18.125, 0.78, 0.0
2018-09-11T18:02:37, 18.187, 0.52, 0.0
2018-09-11T18:02:51, 18.187, 1.12, 0.0
2018-09-11T18:03:05, 18.187, 1.47, 0.0
2018-09-11T18:03:19, 18.125, 1.55, 0.0
2018-09-11T18:03:33, 18.125, 1.9, 0.0
2018-09-11T18:03:47, 18.125, 0.86, 0.0
2018-09-11T18:04:01, 18.125, 1.55, 0.0
2018-09-11T18:04:14, 18.125, 0.52, 0.0
2018-09-11T18:04:28, 18.125, 0.35, 0.0
2018-09-11T18:04:42, 18.125, 0.09, 0.0
2018-09-11T18:04:56, 18.187, 0.0, 0.0
2018-09-11T18:05:10, 18.187, 0.35, 0.0
2018-09-11T18:05:24, 18.125, 1.12, 0.0
2018-09-11T18:05:38, 18.125, 1.64, 0.0
2018-09-11T18:05:52, 18.125, 1.21, 0.0
2018-09-11T18:06:06, 18.125, 0.69, 0.0
2018-09-11T18:06:20, 18.125, 0.6, 0.0
2018-09-11T18:06:34, 18.125, 1.38, 0.0
2018-09-11T18:06:48, 18.062, 2.67, 0.0
2018-09-11T18:07:02, 18.0, 2.93, 0.0
2018-09-11T18:07:15, 18.0, 1.55, 0.0
2018-09-11T18:07:29, 18.062, 0.86, 0.0
2018-09-11T18:07:43, 18.062, 1.38, 0.0
2018-09-11T18:07:57, 18.062, 1.9, 0.0
2018-09-11T18:08:11, 18.062, 3.37, 0.0
2018-09-11T18:08:25, 18.062, 2.85, 0.0
2018-09-11T18:08:39, 18.062, 2.67, 0.0
2018-09-11T18:08:53, 18.125, 0.78, 0.0
2018-09-11T18:09:07, 18.125, 0.86, 0.0
2018-09-11T18:09:21, 18.125, 0.95, 0.0
2018-09-11T18:09:35, 18.125, 1.12, 0.0
2018-09-11T18:09:49, 18.125, 0.86, 0.0
2018-09-11T18:10:02, 18.062, 2.24, 0.0
2018-09-11T18:10:16, 18.062, 0.95, 0.0
2018-09-11T18:10:30, 18.125, 0.78, 0.0
2018-09-11T18:10:44, 18.125, 2.42, 0.0
2018-09-11T18:10:58, 18.125, 1.73, 0.0
2018-09-11T18:11:12, 18.125, 0.52, 0.0
2018-09-11T18:11:26, 18.187, 0.86, 0.0
2018-09-11T18:11:40, 18.187, 0.78, 0.0
2018-09-11T18:11:54, 18.187, 0.52, 0.0
2018-09-11T18:12:08, 18.25, 0.17, 0.0
2018-09-11T18:12:22, 18.25, 1.12, 0.0
2018-09-11T18:12:36, 18.25, 0.6, 0.0
2018-09-11T18:12:50, 18.187, 1.55, 0.0
2018-09-11T18:13:03, 18.187, 1.64, 0.0
2018-09-11T18:13:17, 18.187, 0.86, 0.0
2018-09-11T18:13:31, 18.187, 0.69, 0.0
2018-09-11T18:13:45, 18.125, 1.29, 0.0
2018-09-11T18:13:59, 18.062, 2.33, 0.0
2018-09-11T18:14:13, 18.062, 2.33, 0.0
2018-09-11T18:14:27, 18.0, 1.9, 0.0
2018-09-11T18:14:41, 18.0, 0.95, 0.0
2018-09-11T18:14:55, 18.0, 0.86, 0.0
2018-09-11T18:15:09, 18.0, 1.04, 0.0
2018-09-11T18:15:23, 17.937, 1.38, 0.0
2018-09-11T18:15:37, 17.937, 1.29, 0.0
2018-09-11T18:15:50, 17.875, 1.64, 0.0
2018-09-11T18:16:04, 17.875, 1.98, 0.0
2018-09-11T18:16:18, 17.875, 1.73, 0.0
2018-09-11T18:16:32, 17.875, 0.52, 0.0
2018-09-11T18:16:46, 17.875, 1.12, 0.0
2018-09-11T18:17:00, 17.875, 2.94, 0.0
2018-09-11T18:17:14, 17.875, 2.59, 0.0
2018-09-11T18:17:28, 17.875, 1.9, 0.0
2018-09-11T18:17:42, 17.875, 1.64, 0.0
2018-09-11T18:17:56, 17.812, 1.73, 0.0
2018-09-11T18:18:10, 17.875, 0.95, 0.0
2018-09-11T18:18:24, 17.812, 0.86, 0.0
2018-09-11T18:18:38, 17.812, 1.47, 0.0
2018-09-11T18:18:51, 17.687, 2.85, 0.0
2018-09-11T18:19:05, 17.687, 2.59, 0.0
2018-09-11T18:19:19, 17.687, 1.73, 0.0
2018-09-11T18:19:33, 17.625, 1.73, 0.0
2018-09-11T18:19:47, 17.625, 2.42, 0.0
2018-09-11T18:20:01, 17.625, 1.55, 0.0
2018-09-11T18:20:15, 17.625, 2.93, 0.0
2018-09-11T18:20:29, 17.625, 1.64, 0.0
2018-09-11T18:20:43, 17.625, 2.85, 0.0
2018-09-11T18:20:57, 17.562, 5.69, 0.0
2018-09-11T18:21:11, 17.562, 2.76, 0.0
2018-09-11T18:21:25, 17.562, 1.3, 0.0
2018-09-11T18:21:38, 17.562, 1.47, 0.0
2018-09-11T18:21:52, 17.562, 3.8, 0.0
2018-09-11T18:22:06, 17.562, 2.33, 0.0
2018-09-11T18:22:20, 17.562, 1.21, 0.0
2018-09-11T18:22:34, 17.562, 1.12, 0.0
2018-09-11T18:22:48, 17.5, 1.73, 0.0
2018-09-11T18:23:02, 17.5, 3.37, 0.0
2018-09-11T18:23:16, 17.437, 2.76, 0.0
2018-09-11T18:23:30, 17.437, 1.98, 0.0
2018-09-11T18:23:44, 17.375, 5.61, 0.0
2018-09-11T18:23:58, 17.375, 2.24, 0.0
2018-09-11T18:24:12, 17.375, 0.86, 0.0
2018-09-11T18:24:26, 17.312, 2.67, 0.0
2018-09-11T18:24:39, 17.312, 1.12, 0.0
2018-09-11T18:24:53, 17.25, 1.81, 0.0
2018-09-11T18:25:07, 17.25, 2.07, 0.0
2018-09-11T18:25:21, 17.25, 1.9, 0.0
2018-09-11T18:25:35, 17.25, 1.81, 0.0
2018-09-11T18:25:49, 17.312, 2.33, 0.0
2018-09-11T18:26:03, 17.312, 1.12, 0.0
2018-09-11T18:26:17, 17.375, 0.78, 0.0
2018-09-11T18:26:31, 17.312, 2.67, 0.0
2018-09-11T18:26:45, 17.312, 2.42, 0.0
2018-09-11T18:26:59, 17.375, 1.73, 0.0
2018-09-11T18:27:13, 17.375, 2.07, 0.0
2018-09-11T18:27:26, 17.437, 0.52, 0.0
2018-09-11T18:27:40, 17.437, 0.95, 0.0
2018-09-11T18:27:54, 17.437, 1.12, 0.0
2018-09-11T18:28:08, 17.437, 1.12, 0.0
2018-09-11T18:28:22, 17.375, 2.42, 0.0
2018-09-11T18:28:36, 17.375, 2.5, 0.0
2018-09-11T18:28:50, 17.312, 1.73, 0.0
2018-09-11T18:29:04, 17.375, 0.78, 0.0
2018-09-11T18:29:18, 17.375, 1.47, 0.0
2018-09-11T18:29:32, 17.375, 1.73, 0.0
2018-09-11T18:29:46, 17.375, 2.07, 0.0
2018-09-11T18:30:00, 17.375, 1.38, 0.0
2018-09-11T18:30:14, 17.375, 1.64, 0.0
2018-09-11T18:30:27, 17.375, 1.64, 0.0
2018-09-11T18:30:41, 17.375, 2.33, 0.0
2018-09-11T18:30:55, 17.375, 3.02, 0.0
2018-09-11T18:31:09, 17.375, 2.25, 0.0
2018-09-11T18:31:23, 17.375, 1.21, 0.0
2018-09-11T18:31:37, 17.375, 2.93, 0.0
2018-09-11T18:31:51, 17.312, 4.57, 0.0
2018-09-11T18:32:05, 17.312, 3.28, 0.0
2018-09-11T18:32:19, 17.312, 2.42, 0.0
2018-09-11T18:32:33, 17.375, 1.04, 0.0
2018-09-11T18:32:47, 17.375, 0.95, 0.0
2018-09-11T18:33:01, 17.375, 2.33, 0.0
2018-09-11T18:33:14, 17.375, 3.37, 0.0
2018-09-11T18:33:28, 17.375, 2.07, 0.0
2018-09-11T18:33:42, 17.375, 1.9, 0.0
2018-09-11T18:33:56, 17.437, 1.29, 0.0
2018-09-11T18:34:10, 17.437, 1.12, 0.0
2018-09-11T18:34:24, 17.437, 1.64, 0.0
2018-09-11T18:34:38, 17.5, 1.21, 0.0
2018-09-11T18:34:52, 17.5, 1.21, 0.0
2018-09-11T18:35:06, 17.5, 1.38, 0.0
2018-09-11T18:35:20, 17.5, 0.6, 0.0
2018-09-11T18:35:34, 17.5, 1.64, 0.0
2018-09-11T18:35:48, 17.5, 1.64, 0.0
2018-09-11T18:36:02, 17.5, 1.55, 0.0
2018-09-11T18:36:15, 17.5, 1.21, 0.0
2018-09-11T18:36:29, 17.5, 3.11, 0.0
2018-09-11T18:36:43, 17.5, 2.16, 0.0
2018-09-11T18:36:57, 17.5, 0.78, 0.0
2018-09-11T18:37:11, 17.5, 2.33, 0.0
2018-09-11T18:37:25, 17.5, 3.37, 0.0
2018-09-11T18:37:39, 17.5, 1.81, 0.0
2018-09-11T18:37:53, 17.5, 2.93, 0.0
2018-09-11T18:38:07, 17.5, 2.33, 0.0
2018-09-11T18:38:21, 17.5, 0.95, 0.0
2018-09-11T18:38:35, 17.562, 0.6, 0.0
2018-09-11T18:38:49, 17.5, 0.6, 0.0
2018-09-11T18:39:02, 17.5, 3.19, 0.0
2018-09-11T18:39:16, 17.5, 2.76, 0.0
2018-09-11T18:39:30, 17.437, 2.67, 0.0
2018-09-11T18:39:44, 17.437, 1.29, 0.0
2018-09-11T18:39:58, 17.437, 1.04, 0.0
2018-09-11T18:40:12, 17.437, 0.86, 0.0
2018-09-11T18:40:26, 17.5, 0.69, 0.0
2018-09-11T18:40:40, 17.5, 1.81, 0.0
2018-09-11T18:40:54, 17.5, 1.12, 0.0
2018-09-11T18:41:08, 17.5, 2.24, 0.0
2018-09-11T18:41:22, 17.5, 1.12, 0.0
2018-09-11T18:41:36, 17.562, 1.04, 0.0
2018-09-11T18:41:50, 17.562, 1.64, 0.0
2018-09-11T18:42:03, 17.562, 1.55, 0.0
